관측소명,Latitude,Longitude,Average,Max,Min,Stdev,,,
영축산 유아숲체험장,37.6227436,127.0554305,11.48132432,14.47,9.6,1.019000903,,,
예일여고,37.6107227,126.9153633,10.699161,12.45,9.66,0.536223281,,,
온수근린공원,37.6611081,127.0641529,9.294039783,40,0,2.81435027,,,
올림픽파크텔,37.5223548,127.1165388,10.34079251,16.37,0,1.518527871,,,
옹달샘공원,37.4975251,126.5654974,5.790507513,6.92,3.71,0.391103718,,,
와우공원(관측종료),37.5514517,126.9290753,14.26049104,16.34,11.98,1.185554122,,,
요셉의집,35.8738244,128.6001669,2.971283784,6.69,0,0.782100131,,,
용두삼성래미안아파트,,,10.31946727,12.3,0,2.448671891,,,
용두초등학교,35.2148633,126.8708481,6.736581855,9,1.3,0.73927769,,,
우면동 777 (1 암반층),37.4587878,127.0199451,7.618675737,8.21,6.11,0.257461648,,,
우면동 777 (2 충적층),37.4587878,127.0199451,7.749857406,8.44,0.46,0.372819423,,,
우이동 319,37.6572676,127.003039,2.966737089,15.18,1.95,0.671799777,,,
원당샘공원,37.6607694,127.0219571,3.035216867,46.79,0.47,4.61584966,,,
원두막,,,9.144941022,9.94,7.85,0.570205261,,,
원터근린공원,37.5532618,127.1505642,7.699253054,17.99,0.48,2.998045786,,,
월천초등학교(관측종료),37.6478402,127.0522016,7.945032967,32,0,1.443321242,,,
은모루어린이공원,,,4.896637591,25.12,3.43,1.90246466,,,
은평구청(관측종료),37.602749,126.929256,6.458949672,70.22,1.15,7.628315497,,,
응봉공원,37.5572222,127.0216667,7.818936268,27.26,0,3.638980195,,,
응봉근린공원,37.5572222,127.0216667,27.11700688,66.6,0.19,5.284924318,,,
응암10구역 어린이공원(암반),,,6.834340176,7.99,5.57,0.599555496,,,
응암10구역 어린이공원(충적),,,6.275185547,7.42,4.96,0.658943257,,,
의주로공원,40.1976461,124.5351538,10.61129366,14.84,0,1.585951111,,,
이마트급수전(관측종료),,,38.39865155,70.28,18.71,19.68193877,,,
인강원(사회복지법인),37.6946869,127.0420152,7.347425697,53.66,0,2.25698404,,,
인왕초교,37.5902441,126.9453276,3.945943957,4.49,2.89,0.317037651,,,
일원동소공원,37.4905393,127.0768089,13.50576103,14.97,11.96,0.425174636,,,
임광아파트,37.476733,127.000973,4.601435701,6.2,0,1.057953486,,,
자양어린이집,36.3397726,127.4520651,12.48999681,29.82,0,5.524274611,,,
잠실고등학교,37.522663,127.1063769,9.061730535,12.4,5.71,0.93599113,,,
잠원빗물펌프장,37.5199578,127.0150506,9.431698166,30.68,5.07,1.971345848,,,
잣절약수터,37.5021818,126.8382546,5.580273909,39,0,4.08334202,,,
장미어린이공원,,,5.76188956,32.28,4.61,1.035807222,,,
장충단공원,37.5577308,127.0043005,0.458546047,29.17,-0.56,0.926939804,,,
장평근린공원,37.5668194,127.0739112,6.466789657,30,-4.82,1.280621425,,,
전쟁기념관(2),37.5366059,126.9771397,5.478441358,6.21,4.23,0.464856983,,,
전쟁기념관(관측종료),37.5366059,126.9771397,5.515067873,27.97,0,1.107295864,,,
전파관리소,37.4923035,127.1209465,8.430077922,9.58,7.23,0.723095973,,,
정부청사별관(관측종료),,,5.824879958,7.25,3.14,1.131592738,,,
정심초교입구,37.4717118,126.9083123,9.672119749,11.11,4.42,1.132819729,,,
제일경로당,,,3.884152941,8,0,0.993190012,,,
종묘공원,37.5714598,126.9949388,24.52780416,60.66,-0.01,2.585383086,,,
㈜메디젠피아,,,13.80804864,40.97,0,8.199680348,,,
주원빌딩,,,0.607707317,37.92,-4.01,2.04635535,,,
㈜제이앤지산,,,5.131327684,5.36,4.57,0.201576246,,,
준희빈호텔(관측종료),,,3.020516432,16.45,0,3.770536283,,,
중곡아파트,37.563544,127.0888304,7.090924817,20.04,0,1.204010545,,,
중앙전파관리소,37.4923035,127.1209465,4.335111111,15.92,2.94,1.038051588,,,
중앙하이츠 아쿠아 아파트(관측종료),,,1.965246711,15.79,0.79,2.209380965,,,
지능범죄수사대(관측종료),37.6057932,127.0764737,5.226174597,6.05,0,0.987914274,,,
진관사,37.6383876,126.946406,15.69211085,45.1,5.26,4.594081635,,,
창1동 초안산 근린공원,37.6477697,127.0402485,2.380260603,3.59,0.52,0.514351901,,,
창덕여고,37.5163989,127.1399737,2.694809752,3.75,-0.84,0.792694706,,,
창동문화체육센터(암반층),37.6582713,127.0506149,8.599003984,10.03,7.73,0.60624128,,,
창동문화체육센터(충적층),37.6582713,127.0506149,8.392071713,9.05,7.78,0.329056699,,,
천호2동자치회관(관측종료),37.5443765,127.1276202,11.19833221,36.46,0,0.90642742,,,
철우아파트,37.5234371,126.969215,7.873523779,16.46,0,0.606917223,,,
청계산기도원,37.4376075,127.0578543,34.27715044,56.79,20.62,6.658604447,,,
청룡산입구,37.4747942,126.9470587,3.556709753,39.9,1.32,4.449297834,,,
청파어린이공원,37.5534807,126.9683042,10.54770425,18,0,2.915755521,,,
초안산근린공원(관측종료),37.6477697,127.0402485,4.082611207,10.7,0,1.410079912,,,
충숙근린공원,,,4.532676015,40,2.13,2.812118079,,,
코오롱오투빌아파트,,,12.18572788,21.95,9.35,2.112894651,,,
탄천 하천부지,,,4.149814551,4.44,3.52,0.136178095,,,
탄허기념박물관,37.4789983,127.1029546,4.430988848,37.9,1.82,4.025256138,,,
태성아파트(관측종료),,,7.208656619,9.23,5.23,0.6997688,,,
태양근린공원,,,10.33192,12.76,8.3,1.154935424,,,
태영아파트(관측종료),,,7.380720138,11.03,0,2.560180946,,,
테니스경기장,,,7.998368826,10.03,6.55,0.62261406,,,
팀비전센타,37.6229993,126.9338889,9.276489273,54.11,0.84,4.232918239,,,
파리공원,37.5344362,126.8771392,11.8770656,13.94,5.69,1.221200562,,,
파믹스가든,37.5553922,127.1598564,19.33241588,39.96,12.79,9.224136591,,,
평창동주민센터(암반),37.606252,126.9681083,2.503089005,3.22,1.93,0.259988698,,,
평창동주민센터(충적),37.606252,126.9681083,3.598356021,3.83,3.27,0.089918631,,,
폭포동,37.630668,126.931083,10.86280517,74.69,0,9.072261043,,,
푸른수목원,37.4839836,126.8255942,2.610123188,9.5,0.32,1.604054347,,,
프라임인서울호텔(관측종료),,,3.898058824,15.14,0,5.896822504,,,
하늬공원,37.3972563,126.7321957,19.03467509,39,18.42,1.058182695,,,
한국과학기술정보연구원,,,3.304937669,5.01,1.92,0.333568306,,,
한국외교협회,37.4714633,126.9914709,6.719674286,8.42,4.66,0.619252967,,,
한마음공원(관측종료),,,6.095724138,10.6,3.82,1.252509065,,,
한솔아파트,37.5036003,127.1044868,7.968017217,17.53,5.1,1.466174385,,,
해맞이동산,33.3983229,126.7872235,16.250625,39.56,14.3,2.103446979,,,
행당초등학교,37.5562315,127.0346032,7.723273036,20.12,6.01,0.550163832,,,
향림근린공원 관리소,37.628971,126.9242938,3.262412556,21.93,0.28,1.283937962,,,
향림도시농업체험원(관측종료),37.6277463,126.926792,28.6412708,60,1.08,28.77863967,,,
현대별관주차장1,,,19.9720316,20.19,17.81,0.181238351,,,
현대별관주차장2,,,20.1553125,22.72,9.81,1.414610546,,,
현대아파트,,,2.85885159,6.24,0.78,1.086199532,,,
현대홈타운,37.5448436,127.103067,14.12808871,20,0,1.349712328,,,
형제아파트,,,9.93343162,12.22,4.97,1.371767326,,,
홍익대대학로캠퍼스,37.5765686,127.0015072,22.21176334,24.93,0,3.016982591,,,
환경센터,,,5.314491746,18.05,3.98,0.586042906,,,
회현체육센터,37.5576619,126.9776955,9.103143535,40.01,0,2.915910016,,,
효봉공원,,,11.48530945,23,8.1,0.859237495,,,
효창공원,37.5450482,126.9603142,9.369974824,39.18,0,9.897531386,,,
휘경2구역 녹지(암반),37.5932222,127.0688861,7.291458333,7.59,6.84,0.19481016,,,
휘경2구역 녹지(충적),37.5932222,127.0688861,7.191302083,7.48,6.71,0.209010248,,,
희망어린이공원(관측종료),,,5.380206922,22.87,3.21,1.914046469,,,
힐스포츠CT,,,8.259548023,8.89,7.28,0.340747466,,,
(비어 있음),,,8.09043481,41,-29.96,6.047140035,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
